Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Sampling place	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
SL310961	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station/busstop	Underground	Platform	3200	06/07 2017	14:50	15:20	08/09-17 - KOB	20/11-17 KOB	100	10	0.0572	5.72	5.148	0.635555556
SL310962	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station/busstop	Underground	Platform	1200	06/07 2017	15:26	15:56	08/09-17 - KOB	20/11-17 KOB	100	10	0.0192	1.92	1.728	0.213333333
SL310963	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	Platform	5600	06/07 2017	16:15	16:45	08/09-17 - KOB	20/11-17 KOB	100	10	0.0424	4.24	3.816	0.471111111
SL310964	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	Platform	3200	06/07 2017	16:55	17:25	08/09-17 - KOB	20/11-17 KOB	100	10	0.0182	1.82	1.638	0.202222222
SL310965	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station/busstop	Underground	Platform	5200	07/07 2017	9:40	10:10	08/09-17 - KOB	20/11-17 KOB	100	10	0.0366	3.66	3.294	0.406666667
SL310966	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	Platform	2800	07/07 2017	10:17	10:47	21/09-17 - KOB	20/11-17 KOB	100	10	0.04	4	3.6	0.444444444
SL310967	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	Platform	2000	07/07 2017	11:01	11:31	21/09-17 - KOB	20/11-17 KOB	100	10	0			
SL310968	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station/busstop	Underground	Platform	2400	07/07 2017	11:44	12:14	21/09-17 - KOB	20/11-17 KOB	100	10	0.0332	3.32	2.988	0.368888889
SL310969	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station/busstop	Aboveground	Platform	2800	07/07 2017	13:23	13:53	21/09-17 - KOB	20/11-17 KOB	100	10	0.0172	1.72	1.548	0.191111111
SL310970	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	Platform	5200	07/07 2017	14:00	14:30	21/09-17 - KOB	20/11-17 KOB	100	10	0.0396	3.96	3.564	0.44
