Contig	ARG
1275	Yes
1276	Yes
1280	Yes
1283	Yes
1284	Yes
1288	Yes
1299	Yes
1302	Yes
1307	Yes
1314	Yes
1322	Yes
1327	Yes
1329	Yes
1332	Yes
1333	Yes
1340	Yes
1356	Yes
1364	Yes
1371	Yes
1378	Yes
1386	Yes
1387	Yes
1403	Yes
1405	Yes
1408	Yes
1414	Yes
1418	Yes
1419	Yes
1424	Yes
1437	Yes
1440	Yes
1442	Yes
1452	Yes
1453	Yes
1454	Yes
1455	Yes
1458	Yes
1462	Yes
1463	Yes
1469	Yes
1472	Yes
1478	Yes
1483	Yes
1487	Yes
1490	Yes
1494	Yes
1497	Yes
1500	Yes
1506	Yes
1512	Yes
1514	Yes
1519	Yes
1523	Yes
1524	Yes
1525	Yes
1527	Yes
1532	Yes
1541	Yes
1546	Yes
1547	Yes
1548	Yes
1549	Yes
1550	Yes
1552	Yes
1553	Yes
1554	Yes
1559	Yes
1562	Yes
1563	Yes
1564	Yes
1565	Yes
1566	Yes
1567	Yes
1570	Yes
1571	Yes
1574	Yes
1577	Yes
1578	Yes
1579	Yes
1580	Yes
1581	Yes
1582	Yes
1583	Yes
1584	Yes
1585	Yes
1587	Yes
1588	Yes
1590	Yes
1592	Yes
1597	Yes
1599	Yes
1600	Yes
1602	Yes
1603	Yes
1605	Yes
1608	Yes
1611	Yes
1612	Yes
1615	Yes
1616	Yes
1617	Yes
1619	Yes
1620	Yes
1623	Yes
1624	Yes
1625	Yes
1626	Yes
1628	Yes
1629	Yes
1631	Yes
1634	Yes
1637	Yes
1638	Yes
1640	Yes
1642	Yes
1643	Yes
1644	Yes
1646	Yes
1648	Yes
1649	Yes
1651	Yes
1653	Yes
1655	Yes
1656	Yes
1658	Yes
1659	Yes
1661	Yes
1663	Yes
1664	Yes
1665	Yes
1666	Yes
1668	Yes
1669	Yes
1671	Yes
1672	Yes
1673	Yes
1675	Yes
1676	Yes
1682	Yes
1684	Yes
1686	Yes
1687	Yes
1688	Yes
1690	Yes
1691	Yes
1692	Yes
1696	Yes
1698	Yes
1699	Yes
1700	Yes
1702	Yes
1703	Yes
1704	Yes
1706	Yes
1709	Yes
1713	Yes
1714	Yes
1715	Yes
1716	Yes
1717	Yes
1718	Yes
1719	Yes
1720	Yes
1722	Yes
1723	Yes
1727	Yes
1728	Yes
1729	Yes
1733	Yes
1734	Yes
1735	Yes
1736	Yes
1737	Yes
1738	Yes
1739	Yes
1740	Yes
1742	Yes
1743	Yes
1746	Yes
1750	Yes
1751	Yes
1752	Yes
1754	Yes
1755	Yes
1756	Yes
1758	Yes
1761	Yes
1763	Yes
1764	Yes
1765	Yes
1768	Yes
1770	Yes
1773	Yes
1774	Yes
1775	Yes
1777	Yes
1778	Yes
1780	Yes
1785	Yes
1789	Yes
1790	Yes
1794	Yes
1795	Yes
1797	Yes
1799	Yes
1800	Yes
1802	Yes
1803	Yes
1804	Yes
1805	Yes
1808	Yes
1809	Yes
1810	Yes
1812	Yes
1814	Yes
1816	Yes
1818	Yes
1819	Yes
1820	Yes
1823	Yes
1829	Yes
1830	Yes
1832	Yes
1833	Yes
1836	Yes
1837	Yes
1839	Yes
1840	Yes
1843	Yes
1847	Yes
1848	Yes
1849	Yes
1850	Yes
1851	Yes
1855	Yes
1856	Yes
1858	Yes
1860	Yes
1861	Yes
1863	Yes
1864	Yes
1866	Yes
1869	Yes
1871	Yes
1873	Yes
1874	Yes
1876	Yes
1877	Yes
1879	Yes
1880	Yes
1882	Yes
1883	Yes
1885	Yes
1886	Yes
1887	Yes
1889	Yes
1890	Yes
1892	Yes
1893	Yes
1895	Yes
1896	Yes
1898	Yes
1899	Yes
1900	Yes
1901	Yes
1902	Yes
1904	Yes
1907	Yes
1909	Yes
1910	Yes
1911	Yes
1912	Yes
1913	Yes
